,positive
4615,"[""rt @jacoblakins: happy birthday, mickey!! in honor of the mouse's 93rd, i'd like to treat you to this performance of the mickey mouse revu…""]"
4616,"[""rt @thefantastician: happy birthday sonic unleashed, here's a clean run of chun-nan i did https://t.co/wisikvhqwj""]"
4617,"[""rt @catboymech: i'm a twitch partner and i'm really happy for these new affiliate emote slots! if you're mad at affiliates on account of t…""]"
4618,"[""@valrysha @wowhead this is why i'm happy for a new ceo. hopefully they aren't a greedy bastard who likes to keep wo… https://t.co/sxjuxis619""]"
4619,['rt @martilleero: my client asks me for a happy end 😱when he arrived he described how sore he was in the middle of the section he asked me f…']
4620,['rt @dlanishipo1: you buy your $450 airforce in private 😩😩😩😩 and someone posts you saying ′′ happy client ′′ 😭😭']
4621,['rt @pam38685602: happy gurpurab🙏🙏 #happygurunanakjayanti 🙏❤️ https://t.co/0rnmjikxeq']
4622,['rt @funder: doocy embarrassed himself by speaking in riddles and psaki dunks on him. happy thursday. https://t.co/pz2arc4fmn']
4623,['@junhoewf im so happy that ure doing great my babyyyyy im kinda fine !!!! 💓💓']
4624,"[""@banddisd @zaragoza_pl @lisaannvega1 happy gratitude week! turn up the volume and connect with the lyrics of our 'g… https://t.co/89tt0y2ppb""]"
4625,"['rt @fabrizioromano: brendan rodgers: “i’m happy and proud to be leicester manager. i’m fully committed to this club, players, ownership. al…']"
4626,"['rt @michaelgbaron: happy birthday to the greatest #mets there ever was. a top 5 pitcher of all-time, a gentleman and an artist. george. th…']"
4627,"[""rt @khulemalandela: nobody can make you happy, until you're happy with yourself first nizwile? https://t.co/hknwlzpvyn""]"
4628,['rt @blink182: happy birthday kid 🎂 https://t.co/buqhhorjba']
4629,['rt @03cgs: happy birthday #chris ! have the happiest birthday ever! we love you &lt;3 (▰˘◡˘▰) @wuzo_blitzers #크리스 #블리처스 #blitzers #blitzer…']
4630,['@xdimpleskayy i’m so happy for you kayy']
4631,['rt @nikitalila: i am so happy 🥳 seeing #dimashqudaibergen with #flyaway on the billboard #hottrendingsongs is just awesome @dimash_offici…']
4632,"[""rt @edgerunnerx: don't let your happy moments ruined by social media be happy in private..""]"
4633,['rt @cainta_tripper: happy halloween!👊🏻💦 https://t.co/8arecslv8z']
4634,['rt @hal909: the man who is happy is fulfilling the purpose of existence. fyodor dostoevsky 📷 unsplash https://t.co/08qaweklhc']
4635,"['rt @dolceragazza26: 🌸🌸 ... i am happy with who i care, ... i ignore the one who criticizes me https://t.co/3l5hxswafj']"
4636,['rt @alexaandersonxx: it’s my birthday today 🥳 . 250 retweet’s + likes and i’ll drop a video for you lot 👀 • don’t forget to say happy birt…']
4637,['rt @emmakennytv: one thing i will say is that i am actually happy to be separated from those people who believe that the unvaccinated deser…']
4638,['@fnf_na_t1n i made a bday song for eteled happy birthday to eteled happy birthday to eteled austin and kyle are for… https://t.co/ubcpzynggh']
4639,['rt @iga_dhamaw: nimco happy actually loves someone more than her life 😭']
4640,['rt @jaywonspics: happy jaywon :d #jay #jungwon https://t.co/bw19joo5sd']
4641,"['@wombatnshadow excellent news wombat 🙏🐨💖🤗 congratulations to your grandaughter, also your daughter and you. so happy for you all 💕 🥰']"
4642,['i’m so happy @chelseyamaro finally decided to start doing youtube she’s amazing']
4643,"['@llna7_ happy birthday, have a nice day too😚']"
4644,"['rt @redsox: happy birthday, big papi! thankful for all the memories. especially this one. https://t.co/hvh6wl9rxl']"
4645,"['rt @ronaldnzimora: the broad daylight robbery that is nigerian banks sending you an sms on your birthday to ""wish"" you a happy birthday, th…']"
4646,"[""rt @i2hyejoo: happy birthday to hyeju's soulmate 🦋 #happygowonday https://t.co/titork83ik""]"
4647,['rt @thecrooklynn: @thelastdamnfap @mamianatay happy birthday taylor💕']
4648,"[""rt @catwome96887351: good morning everyone 💕and happy throwback thursday to you all💕 i was only about 5 years old in this photo 💕 so as i'…""]"
4649,['@olympics @allysonfelix happy birthday!!']
4650,['rt @aceenasty: late post but happy birthday to @keptsecretxxx 🎂 hope you had an amazing day daddy ❤️ https://t.co/ao5acr7akl']
4651,['@justaerhys happy birthday 🥳']
4652,['@blakcgold_ @spikyfioof @yoma816 i’m so happy y’all put me on them lmaoooo']
4653,"['@dwca_tweets @robgeog @zaids1088 congratulations, mr saiyed and happy #geographyawarenessweek @dwca_tweets!']"
4654,"['rt @antvenom: minecraft 1.0 was released on november 18th, 2011. happy 10th birthday, minecraft 1.0! https://t.co/fl0sxdsgdi']"
4655,['rt @sherosobti: good night and happy dreams barun won millions of hearts 💕 barun have acting skills @barunsobtisays emotional actor 😊👍🍀…']
4656,['rt @mlfmomlove: happy hump day @kendralust https://t.co/ynbes1z7vj']
4657,['rt @999yusra: happy birthdayyy &lt;3 @misandristwh0r3']
4658,['@rivhues @jaybnow_hr she was not happy with me after this 😂😭']
4659,['rt @htxhiphopmuseum: happy november 18th from the htx hip-hop museum! 🍇🔩🤘🏾 november 18th • drake • warehouse live ‘09 https://t.co/vxz5gsn…']
4660,['rt @bigphabe: to be happy you just gotta really not give a fuck. i’m learning that.']
4661,['rt @sxetia: happy 22nd birthday to chrono cross']
4662,['rt @bauzilla: 💥rabbit season 🐰?! or cat &amp; mouse season 🐱🐭 ?! happy to join #multiversus as bugs bunny and tom &amp; jerry!! 🥕🧀 🧨🍳 https://t.co/…']
4663,['rt @blancemotion: why do people have to have partners and/or children to be deemed happy by society? i don’t get it.']
4664,['rt @adriannahopkins: happy to mark #prematurityawarenessmonth by making personal care kits for parents whose babies are in the nicu. proud…']
4665,['huge shoutout to @liampayne thank you for keeping this fandom alive !! andddddddd happy ten years to up all night… https://t.co/z2x519yuta']
4666,['rt @itsmekerkgarcia: lets be happy in private.']
4667,"[""rt @strongmangreg: happy halloween. let's hope more women forget to pee before going out. https://t.co/apbbjvo8im""]"
4668,['rt @mrmacaronii: omo the way i’m so happy about psquare!!!! haaaaa!!!!! peter and paul dem be one no be two!!! 🕺🏾🕺🏾🍾🎉🎊😍❤️❤️']
4669,"['rt @mackzjonesttv: happy thursday babes, one more day til friday!!!!!!! here’s a short clip of my most recent meetup last weekend in la😘😘😘…']"
4670,"[""@artbyakula i'm happy to be here! i truly feel blessed""]"
4671,"['rt @claynocurry: guys if you don’t have the happy cow app and you’re vegan, download it expeditiously. it shows tons of restaurants around…']"
4672,['rt @dannyvvhite: btw im so happy that all the relationship dramas are almost over for gemini &amp; sag risings - it’s been exhausting ngl !!! t…']
4673,['rt @jaiveersaini01: i made this only for #pratiksehajpal 🤗💕 happy diwali to all his family members and #pratikfam !! @realsehajpal !! ❣️…']
4674,['rt @noirsnowart: happy caitlyn vu!🤍#artofarcane https://t.co/hul6fy1few']
4675,['rt @cryptoireland1: people fear #cardano so much it makes me very happy i hold it 💯']
4676,['rt @mlbonfox: rt to wish @davidortiz a happy birthday! 🎂 https://t.co/hi8hls99ch']
4677,['rt @ty_pesh: happy #nativember https://t.co/hdznachkcq']
4678,['rt @ohjay_juicedout: y’all tell my baby happy birthday. 6 going on 26. my twin. daddy’s baby. all the apple juice you can drink tonight son…']
4679,['interested in a happy hour with child health &amp; well-being researchers at sea? join us on sunday from 6-7 pm at grot… https://t.co/wrypj02ndc']
4680,['rt @iampr1metime0: happy birthday to me🔞 #gameday😈 https://t.co/imtprnll0m']
4681,"['@peonyandcream lovely! if you got the happy home paradise dlc, baarbra asks for a ballet studio as her vacation getaway! 🩰']"
4682,['rt @ivepetthatdog: i pet pike. he was named pike because his caregiver has happy memories of fishing in canada with his dad. pike is energe…']
4683,['rt @woyoutofcontext: happy 23rd anniversary to the powerpuff girls! https://t.co/hegysvn4cd']
4684,['rt @littlemix: 💖 happy five years of glory days 💖 https://t.co/cmmceodqso https://t.co/pcrjeej7kg']
4685,['@thinkreadtweet happy anniversary 💗💗']
4686,['rt @chris_kelly6: @beautifr0 ken you are so beautiful and look so happy 🥺😘']
4687,['@kay_arlette happy birthday!! 🎉 🥂']
4688,"['rt @sarahmarie907: taylor shot a 300 last night &amp; i’m super proud, but also happy i don’t have to feel like his bad luck charm anymore 😂🖤🎳…']"
4689,['rt @nadinegogolla: happy to see our newest paper out! how does our body help the brain to keep fear in balance? check it out here: https://…']
4690,['i’m so happy wow']
4691,['rt @savageheartsnft: @timredondo @txpabc @steven__rea my flower is happy af❤️🌼✨💖🌈🌼 https://t.co/gilrb1epd9']
4692,['rt @evelgie: happy scaranniversary #原神 https://t.co/jannosijsd']
4693,"['@stacyherbert is that an entire blockchain in your pocket, or are you just happy to see me? https://t.co/u6gem1ftw6']"
4694,"['@catg1rlqueen @unraelatable @corpse @corpse_husband i cry youre both so cute, this makes me so happy :(']"
4695,"['rt @tacocattoken: buy #tacocattoken, enjoy reflections &amp; be happy 🙂 tag your friends and send them some good #tacovibes 🌮😼 $tct #tacocat…']"
4696,"[""@tragedy_andy omg thank you i'm so happy whenever i remember about this!! a gift""]"
4697,['@rstycg so happy for you 😊😁😍']
4698,['rt @aarickawash: @godisrivera what a good feeling. i’m happy for you. i can’t wait to get there!']
4699,"['rt @1_sam_5: some drawings me and @hooterton made, drawing wholesome spamton makes me happy so imma start doing that a lot more https://t.c…']"
4700,['rt @deefalaye: so happy to see blood scion on this @buzzfeedbooks list with so many other fantastic titles. literally counting down the day…']
4701,['@_mayonason happy birthday!']
4702,"[""rt @inochi2d: happy to announce the design for our new mascot, she doesn't have a name (yet) but she'll be featured throughout the project…""]"
4703,['so lash techs really charge $125 for a set of lashes? i was happy to do my lashes for $75 yesterday']
4704,"['rt @cvmyko: happy birthday miguel, i love you']"
4705,['rt @ivepetthatdog: i pet pike. he was named pike because his caregiver has happy memories of fishing in canada with his dad. pike is energe…']
4706,['its past 2am im gonna head to bed now gn guys the birthday wishes really made me happy &lt;333']
4707,['rt @ezbunzz: a bit late but happy #lazuli6ht 🥳🥳🥳 eli and pomu got ligma while finana cries for help🤪 #finanart #pomupaint #pendorart #lazu…']
4708,['rt @zaynmalik: happy birthday to my gorgeous little sister today ! love you !! xx']
4709,['rt @jonathanlea10: niki savva is correct. @scottmorrisonmp plays both sides of the fence on vaccine debate. happy to declare govt has ‘no m…']
4710,['rt @grandcentralpub: sometimes i trip on how happy we could be by @tnwhiskeywoman and seeing ghosts by @katchow are among the best new book…']
4711,['@callebanon congrats! happy for you bby🤍🤍🤍']
4712,"['rt @_gtfoanna_: zayn and gigi broke up, shawn and camilla broke up and you still believe in happy everafters!??!']"
4713,"['rt @sonic_hedgehog: the difference is night and day. happy 13th anniversary, sonic unleashed! https://t.co/9ki5fiz7eo']"
4714,['rt @tornadoanwar: happy birthday @_unicornkisses https://t.co/vjdgerdoxf']
4715,['rt @_bsavage__: @thaboyjozu i’m so happy for her 😭😭😭🤣 https://t.co/wdc9pdrbfv']
4716,['@i3blx happy birthday🤍🤍🤍🤍🤍🤍.']
4717,['so happy to be part of this awesome circle!! #friends']
4718,"['@nerdy_addict i’m so happy yall got a victory! you have been relentless in the midst of so much sadness, trauma, an… https://t.co/giwadpjpqu']"
4719,"['rt @limetg1: ""mother of darkness"" vampire tg ap happy halloween!!! #tgtf #genderbender #transformation https://t.co/ztaugsnpqq']"
4720,"[""rt @jake_randall_yt: going into this much detail literally helped thousands of you guys today. i'm so happy this drop is going so well and…""]"
4721,"['rt @sonic_hedgehog: the difference is night and day. happy 13th anniversary, sonic unleashed! https://t.co/9ki5fiz7eo']"
4722,['rt @gwen1173: happy thursday blessings!🙏🏾💙 https://t.co/fkdrsh6l0v']
4723,"['rt @dup_online: 18 months ago, before a bad poll in february this year, he was happy with 100% of customs checks. https://t.co/agr2g7yxwl']"
4724,"['@mandalay117 aww, happy belated birthday mom!! 🎂🥳🏇 https://t.co/d1ydc3ys3n']"
4725,['rt @dojacataccess: happy birthday to bree runway! 🤎 https://t.co/cyaf5h46tg']
4726,['rt @arcwasiu: @phlossy18 @_peesee happy birthday baker']
4727,"[""@chauncysmartt i'm just a couple months ago i woke up in a jack and happy with a smile on my face and now it seems… https://t.co/mx2ltbsljb""]"
4728,['@hunnerrxse @withfnd likewise!!! happy we found each other :)']
4729,"['@beeduocafe @sweetistired bro just let cloudy be happy that they met those three, chill 😭']"
4730,['rt @createstreets: happy oxford #gentledensity four to five storeys - nobody minds. https://t.co/fl5yf6imdg']
4731,['rt @tates_sims: *gets cheated on* the sims 4: hi baby im over it! 😁😁😁😁😁 *cue happy moodlet* the sims 2: u cheated once when we were teens…']
4732,['@zoemk8dx happy b day']
4733,"[""rt @jasoneg33: i'm still so happy this happened lol https://t.co/aykk0j90a3""]"
4734,['@wolffsupremacy you absolutely deserve this so happy for you😘❤️❤️❤️❤️']
4735,['rt @mimikookoo13: i will never get tired of saying that im so happy jungkook found his jimin and jimin found his jungkook']
4736,['rt @slim_edittionn: happy birthday to me. 🎊🎂✨ libra szn baby 🤪 https://t.co/xlpz62chus']
4737,['@tracycupcake20 happy birthday beautiful hope you have an awesome day xx https://t.co/mp3kz2jyur']
4738,['rt @jaiveersaini01: this is for you guys i made this abhi abhi !! 🤗💕 i hope you will like it !! 🥳 happy diwali once again to u all !!❣️…']
4739,"['rt @1inthelifetime: happy anniv to up all night era its been so long i want you all back from this era, i miss you all so much #10yearsofu…']"
